date,headline,ratings,reviews
23 February 2021,Interesting premise with a boring padding.,5.0,"WandaVision certainly have a very intriguing premise, but pretty much everything else, like the build up to the interesting parts, is a tacky snore. The first three episodes is pretty much just a homage to old sit-coms, but unfortunately they weren't able to make those parts ...you know ...funny. So they merely function as a boring transportation device to the mentioned interesting parts. Couldn't they hire some actual funny sit-com writers for those parts and make them good instead of necessities? Unfortunately when the intriguing more ""serious"" parts kicks ins, it feels like even those parts of the show gets stuck in some kind of stale combination. When you feel like ""Ah, here we go!"" it doesn't really go. Is it suppose to be funny still or more serious? Either way, it's not very good at being any of those things."
22 March 2021,An Interesting Concept But Overall A Mediocre Show,4.0,"This could have been a lot more interesting, but unfortunately this is another mediocre and overrated show.

The concept isn't bad, but most of the series is boring and despite the episodes being short, they seem too long.

The last two episodes aren't that bad, but it's just not enough to make the series anything more than mediocre entertainment that isn't really worth spending time on. Today, most hows are unimaginative and boring, and this one is no exception.

Maybe there are just too many movies and series about superheroes, so nothing can impress us anymore.

The cast is good and it's a shame that the script isn't as good. The cinematography is excellent, but that is simply not enough anymore, the special effects are not enough to make the show interesting. Unfortunately, another in a series of mediocre generic TV shows.

In short, another mediocre show with slightly better special effects."
3 February 2021,For once the hype is well deserved.,9.0,"I've become a little suspicious about so called hyped up shows, but, to my sheer surprise, WandaVision really is a great show.

You will need to stick at it, the first few episodes were a bit of a chore, but once all settles down, which is pretty much at episode four, it becomes a cracking watch.

It's rather difficult to review the show as a whole, because the quality of episode does vary a little, however for the sheer imagination, acting and general originality, I have to score it a 9/10.

Don't be put off by the first couple, it really does go up a notch.

It delivers."
21 February 2021,It's alright,6.0,"I'm sorry for the 7/10 review, but I've been watching some amazing (in my opinion) 10-star shows and it just doesn't seem that great once I watch the next coming episode. Yes, I probably watch too much tv in my free time but I just love movies/shows and casting my reviews. I think Olsen is great but maybe needs a bigger challenge and will probably have one someday! It's just an ""alright, decent show"" that entertains in the moment of watching in my opinion. There's nothing too spectacular or thought provoking like shows I've watched elsewhere. Thanks for reading :) -Sina"
5 March 2021,Finally,5.0,"I knew after the last episode I would want to give the series a 10 but it doesn't deserve it by having a great finale, there were 2 episodes midway that were enjoyable but the quality slipped again after, it seemed the episodes were 4/5 filler material and 1/5 plot which was annoying due to the low run time and 9 episodes and being a limited series, the only exception to this for me was ep 5,6,9 I think a lot of the hype around this is the fan theories that happened every week which were more fun then the show tbh, and the fact it's the mcu so you have to watch it because it will tie in with the movies

On the plus side the 3 great episodes were great start to end which was upsetting because the quality was there and could have been in all the episodes, I know it was a string along show for week to week but the huge epic payout wasn't even there.

I'm not a hater of this show I just feel it could have been so much better, for people that want to know the main parts for the movies, I'd watch the last 2 episodes."
15 January 2021,Credits way too long,10.0,After two episodes I'm hooked and excited how things will unfold. But 7 minutes of credits is a bad joke. This time should better be used for more content of the show.
25 January 2021,Overwhelmly dull,5.0,"The sitcom bits aren't funny, the mystery isn't mysterious. I've watched ep 3, but I have no idea how I lasted this long."
18 April 2021,WandaVision is bad TV. Literally.,2.0,I wanted to like this show. But the first 90 minutes are nonsense. That is an eternity for nothing to happen in TV. What follows that is mostly a badly written show with a pretty lame final showdown. I do feel that both the actors did well with their roles. But they both really did unheroic things in the show. I respect they tried to do something interesting - but the Star Trek TNG episode with the similar plot where the alien had built paradise for his dead loved one was much better TV. This show makes me not want to watch Marvel TV.
16 January 2021,Don't give up on it,9.0,"I almost quit watching about halfway through the first episode. It seemed kind of silly and over the top. However, this all changes when the show starts to take on dark and perhaps sinister undertones. I think this series will be a mystery that slowly starts to unravel with each episode."
18 June 2022,One if the best things Marvel have done.,8.0,
8 April 2021,Overhyped average show,6.0,It starts slow and a bit strange but the story starts to improve and it gets good well up until Agatha Harkness the the whole story just becomes stupid. There was no need it was ok as it they road it was going. You do not always need a dumb twist and this is dumb. It spoiled the whole story.
8 February 2021,Wow wow wow wow wow and Wow,9.0,"Bear with the first 3 episodes, you will find a crazy creative TV show!!!! I almost gave up and wondering what happened to Marvel, this is a studio that had made so many amazing movies.... then the 4th episode came and explained why, it's a very complicated story and an absolutely innovative TV show that not a chance you had seen something like this before. Just hold on to it, it's the Marvel, they're trying something new for TV shows, it's a bold try and they wont let you down. Only 9 stars cos the end credits last for crazy long 5 mins... sweating!!!"
26 March 2021,A somewhat acquired taste is required here...,5.0,"I sat down to watch the 2021 series ""WandaVision"" after having been told that it was really good, and also the high rating here on IMDb seemed to deem it a great show. And with the creative force of Marvel behind it, what could possibly go wrong?

Well, I have to admit that ""WandaVision"" fell somewhat short of properly entertaining me. It was just the whole concept of the storyline that threw me off, as I found it so hard to buy into it and take it seriously. Oh for sure, this wasn't really bad, but it just didn't really appeal all that much to me. Yet, I managed to endure all episodes and watch it to the end.

Granted, then it should also be said that I am not overly keen on the whole concept of superheroes, but I still watch it, as it does tend to be somewhat entertaining, albeit often mindless entertainment.

It should be said that you literally have to suffer through half the show before things start to become interesting and escalate. And that was definitely something that killed off the show for me as well.

Visually then ""WandaVision"" was as you would expect from a Marvel production. Lots of high end special effects, great sets and props, and wonderful costumes. And the CGI effects throughout the course of the episodes were just spectacular, as it tends to be in the stuff that comes through the Marvel studios.

""WandaVision"" had a very great ensemble of cast members. It was definitely a blast to have Elizabeth Olsen and Paul Bettany return to reprise their roles as Wanda Maximoff and Vision respectively. But aside from them, the series also had an amazing performance from Kathryn Hahn, and she really impressed me quite a lot here with this series, she is so much more than just a generic comedy actress. And I will say that Kathryn Hahn actually makes the show quite durable to watch. And it was also a blast to see actress Debra Jo Rupp in the show.

I really wanted to like this series and submerge myself into it, but it was just so difficult, especially with the first 5 episodes being so, well, ridiculous, for a lack of better words. I must admit, though, that the last episode was quite interesting, but by then it was just too little and too late.

My rating of ""WandaVision"" settles on a mediocre five out of ten stars. The show's storyline and plot was just a swing and a miss for me. But the visuals and acting performances made it bearable to sit through. However, I am sure that the show is appealing to the hardcore fans of the Marvel universe, I mean, just look at the rating of the show."
2 April 2022,Give it a Chance,8.0,"Great series. The first three episodes are a little strange, but it gets really good once things are explained and turns into a great Marvel series. There are some really good characters introduced and a very interesting story. Worth the watch."
28 June 2023,Comfortably Numb,8.0,
19 March 2022,Woah,10.0,"This is one of the best pieces of Marvel TV we've gotten in years.

Should you be aware of the MCU before viewing this? Yes, definitely, if you're not you'll be very confused, I've heard so much hype for this show and a lot of mixed reviews, it didn't really look interesting to me but after watching every episode my opinion has gone way up, unpopular opinion but this is lowkey better than a big portion of the MCU including Iron Man.

WandaVision has one of the best and most compelling mysteries I've ever seen in a TV show, from the very first frame you feel something is definitely wrong, and the director had a great vision because he wanted you to figure things out as the show went on before revealing everything, Elizabeth Olsen and Paul Bettany do their best acting since Infinity war and Kathryn Hahn is incredible in this show, it was fantastic to see a real threat to Wanda and the show took Wanda and Vision in dark directions.

Vision having a philosophical debate with himself was one of the best things I've ever seen in the MCU shows, and all 9 episodes amount to one of the best and most epic finales I've seen in a long time.

This might be surprising for some people to hear, but WandaVision gets an A."
7 March 2021,Marvel fans: stop inflating this mediocre series,5.0,"(Disclaimer: I do not hate Marvel, I am just speaking objectively as a fan of cinema and TV - this is not a personal vendetta against Marvel.)

One line that stuck with me from this series was uttered by a background character, who begs, ""Please, let us go.""

This is the same sentiment I feel about Marvel's now vice-like grip on cinema and television: why can they not be content with releasing less often and with greater polish, rather than spewing out shows and films like they're going out of style?

Wandavision is, simply put, bang average to below-par television, a mismatch of clunky scripting and an ailing plot. It is so akin to the lower-end Marvel TV show predecessors (see ""Agents of S.H.I.E.L.D."") that it is staggering to think that this is the most expensive series ever - all the more reason to think lowly of it.

Initially, I will admit, I was invested: the first two episodes are complete rubbish, wasting an hour of your time for about two minutes of storyline, but the hint was enough for me to persevere. By episodes three and four, my interest peaked as the story began to unfold, and between awful dialogue, something was actually unfolding. This is where the fun stopped.

The rest of the series devolves into comically bad television, predictable and uninspired. There are ""hidden"" niche references for the hardcore fans, but they are not accessible to the average viewer; instead, you get some VFX that wouldn't look out of place in the early 2000s, along with acting that can only be described as bad (all except for Paul Bettany, who is really trying his damnedest).

If the funding for this show was really $25m per episode, can you honestly say it looked that good? Game of Thrones, for example, had episodes twice as long as Wandavision with ten times the settings required and a lower budget, yet looked worlds better than this cringeworthy witch-fest.

Some of the fight scenes were bemusing, given the clunky physics and weird cuts used to ""enhance the action"". I understand the attempt at bringing back sitcom styles from the 50s forwards, and I did like this, but the novelty wears off when nothing else of interest is on show.

In reality, Wandavision is Disney's Mandalorian for the Marvel universe. It is sacrilege for superhero fans not to enjoy the spectacles aimed at them, so they assimilate these shows, even if they are rubbish.

Were this show unconnected to Marvel, and in fact just a new troop of superheroes with the same plot and acting, it wouldn't be heard of again (nor celebrated to begin with), such is the swaying power of Marvel these days. I would say to those who have watched this: take off the rose-tinted glasses, and watch this series again honestly and frankly.

Can you really say this is the pinnacle of television? The best I can say is that it's different - and even then, the individuality is lost by the second half."
17 April 2021,"Not the worst, but insanely overrated",4.0,"The first few episodes when it was still a mystery were the peak episodes, and even then, it was progressed in an abundance of mind-numbing sitcom skits.

As soon as the ""big twist"" was revealed, it got really bad. I feel like they couldn't live up to what they had built earlier on. It wasn't awful though, it still had its good moments, like every show typically does."
15 February 2021,Are you kidding me?,10.0,What is with the negative reviews? This show was beautiful and funny from the very first minute. I am looking forward to how they will evolve.
6 March 2021,"Slow start, decent middle, flat finish, good acting",5.0,"The first few episodes were quirky but uninteresting, the middle set of episodes were an improvement as it was clear something else was going on here and Marvel might take a risk for once, and then they went right back to the formula and ruined all the moving out of the comfort zone and interesting character potential

But Olsen and Bettany are fantastic"
11 March 2021,A pure set up for the next MCU movie instead of creating a world of it's own,6.0,"After the cinematic climax of Avengers, Marvel has reached it's pinnacle of excitement and despite their big plans, the movies were too spread out so they needed something to fill in the space between them. Seeing the success of the Mandalorian, the Mickey Mouse empire decided to try the same approach with their superheroes.

When WandaVision came out, it attempted to create some mystique by using a black and white sitcom style but unfortunately neither the flat jokes nor the quirky atmosphere made it interesting. As the episodes went on, the events began to make sense, the teasers were all over the place and the series became rather enjoyable by episode 4.

Everything was going upwards and the show looked like it might actually be something big that will crack open the next phase of the MCU but then they just bombed the ending. The resolution did manage to wrap up the story in an alright fashion but there was so much potential to make it a dramatic and truly emotional climax. Instead, they went for the usual ""Disney"" ending without any real weight; not to mention the countless red herrings that amounted to absolutely nothing. The second post-credit scene did add some pepper and the new costume looked sick but the show could have been so much more. Marvel needs to understand that a series has to have a satisfying conclusion; not a mere set up for their movies.

The show certainly turned out better than expected and if you manage to get past the initial episodes, it should be an enjoyable binge. Elizabeth and Paul put a lot of effort into their acting and the VFX did look formidable; I only wish that the writers would have tried harder. The more you think about the series and the questions that were left unanswered, the more frustrated will you get. Quite simply, the 9 episodes is a one time watch that was made only to fill the gap between the movies instead of creating an interesting project that fans would genuinely care for.

Movies.shmovies on Instagram"
15 January 2021,So many questions...you people need to pay more attention,8.0,
22 March 2021,Liked the non-Marvel episodes,7.0,"I'm not a Marvel fan, but I liked the first few episodes simply because they are not Marveled! The idea was kinda original, although I had watched something similar in Mr. Robot, where Elliot was in old comedy show and laughters were in the background, I felt like it was the same idea especially in the beginning. But I liked the twist at the end, I laughed a lot."
21 November 2021,Amazing series,9.0,"First of all, series has funny moments as expected from the marvel Series. It is mysterious and all the mysteries solved in last episode which make you hold to this series. Then there is suspense also, story plotting with character development is fantastic - can't describe it. And credit scenes are also epic.

But there are some problems as well, like i am not familiar with english language but this series uses some hard words, you feel boring in start bcz of sitcom type. There are some mistakes as well. It is little bit confusing also.

That's all Hope you like it."
10 January 2022,Wanda's love gotta do with Vis?,7.0,"'WandaVision (2021)' picks up some time after the events of 'Avengers: Endgame (2019)' and initially presents itself as a sitcom. This makes the first two episodes a little difficult to engage with; they're fun enough in their own right, but they don't exactly grip you. As the series progresses, though, it soon reveals itself to have a strong overarching narrative that's actually really meta in a fairly interesting way. The episodes, even those that are clearly part of a wider story, are styled after sitcoms from each decade (starting in the 1950s and ending in the 2010s), until the show more-or-less drops this conceit for its finale. The finale itself is actually rather underwhelming because it introduces an antagonistic force that doesn't follow on from that which has been established throughout the show. Still, most of the affair is focused on character and that's where it really shines. Sure, it's cool to see how they adapt their desired story to fit within the sitcom framework, but the most impactful stuff certainly comes when its characters question their reality and are shown to be dealing with the ramifications of the events they underwent in their previous big-screen appearances. Though it gets off to a bit of a rocky start, this is a well-made and entertaining show. It's also rather distinct and explores its title characters better than any of Marvel's previous efforts. It's a good start to the television side of the MCU. 7/10."
16 January 2021,Kind of Hokey. Not Bad. Not Good. Just OK.,5.0,
7 May 2021,And I'll get your little dog too.,8.0,
7 March 2021,Had potential to be great,6.0,"Ok, I really loved the first three episodes, because they were different. It wasn't the typical marvel formula (which isn't a bad thing) of just action and fake science talk. It was a bit creepy at times, and was genuinely enjoyable to watch. Of course, those are the episodes people criticized for being 'boring', and using sitcom tropes. Well, the point of those episodes is that they were using sitcom tropes and putting a twist on it. You did watch it, didn't you? Anyways, after that, we start to see the typical MCU stuff, just without the action, so we just get fake science talk. I do like Jimmy Woo, though. Both of the villains are bad, especially the one that worked for S.W.O.R.D. (I can't even remember his name), so much fake science talk, and a lot of time spent outside the sitcom style. The sitcom style bits were really fun, that's why the first three episodes were so great. Also, the action in this show wasn't needed. I really didn't want this show to have a big action packed climax, but who am I kidding? It's a Marvel show. All in all, first three episodes 8/10, rest of it 5/10, I'd say that averages to about a 6/10 overall."
15 January 2021,"A Delightful Superhero Soap, unlike anything in MCU",8.0,"Part loving whimsical homage to Classic TV history, part off tantalizing kilter mystery, WandaVision is a wonderfully weird and strikingly bold step into the small screen for the MCU - and a perfect showcase for Elizabeth Olsen and Paul Bettany. Marvel goes off on a bizarre and audacious twists and a world away from the usual explosions and super-punching yet confidently delivered tangent, bringing back familiar characters in a fresh and imaginative way. Elizabeth Olsen and Paul Bettany deliver the comedic goodies, as the series drops delightful comic book Easter eggs and it's mystery unfolds towards the phase 4 in MCU. Watching the first two episodes proved that the show is definitely expertly produced and spectacularly written with some beautifully performed twists on TV history, and Olsen and Bettany commit hard to the cheesy comedy. Wandavision is an extraordinarily different aspect to superhero genre."
17 January 2021,Double Meanings Everywhere,10.0,
7 March 2021,You can't take your eyes off it,10.0,"Westview, New Jersey. Present day. A charming suburb full of happy couples, all the men gainfully employed, every woman an ideal wife, not even one person causing problems. Why, the very worst thing you can say about anyone living there, is that some of them do enjoy gossip! So while things in the past have been tragic for now newlywed Wanda(Olsen, channeling Mary Tyler Moore, Elizabeth Montgomery, and Lucille Ball), surely things will be perfect and completely without conflict or pain now that she has moved here, with her darling husband Vision(Bettany, very Dick Van Dyke and Hugh Laurie), they will fit in, their children will be well-behaved, and they will finally, for once, have time together. However... I mean, at the risk of sounding distasteful... last time we saw, his head was... so what happened with that? And why is everyone... smiling so much? Making such corny jokes all the time? Didn't things used to be in colour, not black and white? I mean, if I didn't know any better, I would almost say that this feels like some twisted role-play... everything is like a sitcom, and which decade(each with its own catchy theme tune opening) it's from seems to keep changing... and then every so often, there will be a crack in this facade...

This is easily the least mainstream, most experimental, furthest away from their well-known(and depending on who you ask, more or less maligned) house style, that we have seen for the MCU so far. In some ways, it feels like it was made by David Lynch. Or something you'd see on The Twilight Zone. The mystery is incredibly compelling. You know immediately that something is definitely wrong. And since the people making this are completely aware that we're trying to figure out what is actually going on, and how, that we are carefully looking for any indication, they put in countless clues. So we're glued to the screen and listening carefully, for references to comic books, movies, TV shows, and then trying to figure out which ones are Easter Eggs and which ones are telling us what is happening and why. Hitting up Google and YouTube to see what we missed, talking to friends and coworkers about theories, convincing people who weren't already watching to do so, so they can participate in that. This is of course exactly what the people behind it hoped would happen, and they did an amazing job. Every cast member is spot-on in their complex, layered performances. Considering that this spans half a century of shows(and there is clearly a huge appreciation of those), this was a Herculean feat. They clearly did their homework. They are matched by the writers, the costume department, the set design, the cinematography. Keep in mind that, every so often, this will feature some real nightmare fuel.

I recommend this to fans of Marvel, and/or of the television series that this is a love letter to. 10/10"
6 March 2021,Interesting....,7.0,"This is a really cool and different show starring characters I'm already invested in. I had a great time for the most part. It's filled with intrigue that mostly pays off. I was debating between a 7 and 8. I went with a 7 because the first 3 episodes didn't hook me as much as they should have, and because of one major disappointment with a subplot involving an outside character that I can't make any logical sense of. But at many points I was absolutely loving the mystery and intrigue. (3 viewings, 3/5/2021, 4/28/2022, 11/8/2023)"
1 February 2021,If Disney dropped all episodes at once it would not get less than a 10.,10.0,"The only reason any one would give the series less than a 10 is that they had no idea what was coming. It's Disney's own fault they should Learn from Netflix. They should have dropped all the episodes at once. America loves binge watching. I watch the first 3 episodes and I was like what garbage is this? But patient was a virtue and I was well rewarded. It's starts at the end of episode 3, you will then realize what is really going on with this show."
6 March 2021,True to their .. Vision,10.0,"Should you be aware of the MCU before watching this? The three phases that came before this? Yes you should even if this starts off just like a very old time sitcom show. Even there having the knowledge of why and who the two main (titular) characters are is paramount (no pun intended - also maybe the next studio Disney buys?).

Of course this can be enjoyed even if you are not aware of anything prior to this. But even if it seems as too much, I think it is rewarding to go through the catalog. Of course if you weren't a fan before, it is likely you won't become a fan now. Especially those who are not patient enough might give up on the show after the first episodes. If so, you'll be missing out on quite something. Marvel took a (calculated?) risk to go back in time! But they did it in such manner that those who cherished those shows and enjoy being taken back into a different time will rejoice! Especially because it is done with so much love and care! The upcoming making of will shine more light on that.

For those already aware, mid credit scenes only become a thing from episode 7 onwards. So three episodes with an added scene, the last one even has two scenes! And they really make those who love the show want more. As of know it seems anything not resolved will be taken into a future MCU movie in Phase 4.

Enough callbacks and people returning to their roles but also many new characters introduced here. Some people, those aware of the comics may have some ideas of where those will be going ... but even if you can guess certain twists, the show which can be considered a very long Marvel movie, is very well made and has enough of everything to keep the viewers on the edge of their seat. I Wanda if you can see this Vision through? Very rewarding it will be (all puns intended)"
12 February 2021,"Too short, ended when it began to be interesting",8.0,
26 February 2022,Best Marvel Disney+ show,8.0,"So refreshing to see something so different in MCU. The sitcoms segments, especially the first three episodes were gold, which made the revelations much more effective than they could've ever hoped to be. There were moments were expositions were a bit too much, still, it worked pretty well. Elizabeth Olsen and Paul Bettany are mesmerizing to watch. Even though they wasted some of the castings it was good to see the elaborate fan theories fail. Wanda became one of the most explored characters in the MCU, the only one that is probably explored a little more could've been Tony Stark but that was through years where they had to do retcons for inconsistencies.

However, WandaVision still had a lot more potential to become truly great if not for the bar MCU set that won't allow them to be more obscure. Still even this has been a pleasant surprise in the way it bent realities and tried to dabble at the boundaries of surrealism, not quite reaching there."
5 September 2021,One of the best series frm marvel,9.0,Except first two episode this series just awsm...I give this series 9 star..1star remove for frst two episode....wanda u r amazing...I just love her...
15 February 2023,THE Best MCU Show They've Made!,9.0,"This show pure entertainment and art from star to finish. Admittedly, if you're not into sitcoms, you may not like this show, but I LOVE sitcoms so this was already right up my alley.

But this is Sitcom meets Twilight Zone, meets MCU, meets romantic tragedy. This story does Wanda and Vision the justice that EndGame just didn't have time for in the grand scheme of things.

The acting is amazing, the sets and costumes are beautiful, the script is just...*chefs kiss*. Not to mention the very meta casting choice for Ralph. I actually can't think of a single con about this show and am pretty pissed at what Doctor Strange 2 did to Wanda and her character development."
25 August 2022,Creative but awkward,6.0,Marvel hasn't quite gotten their shows right. The episodes are a bit too overstretched with not much happening in each episode. There is a lot of forced humour that is extremely jarring and awkward. Most importantly it lacks this unifying soul. They all feel so much like people just acting but not like a real story with real people.
6 March 2021,MCU Expands to Television,8.0,
23 June 2022,An answer for this show,9.0,
18 December 2021,How much of our lives is an illusion?,10.0,
31 January 2021,They played a dangerous game,10.0,"The rating of this show as it stands is a direct result of the first 3 episodes. I, like everyone else was like; what in the world is this!? Again only the first 3 episodes. I had basically given up, but forced myself to watch the 4th outing. Oh boy was it worth the wait. It went from a joke to a solid 10 in a couple of minutes. So yes I think it's a dangerous game to play by the studio, even though you somehow felt that this couldn't be 'it'. I think a lot of people have given up. What a shame, because after ep. 4 you just know it's going to be a great show, high quality storyline and great actors. Can't wait for the next one."
9 August 2021,Good,8.0,"Marvel wanted to do something different, and they did. I liked."
8 March 2021,"Super average, those that rate this above an 8 are Disney shills",5.0,"Started off good, really enjoyed the slow burn mystery but by episode 6 it turns into a below average marvel flick,lots of flying around CGI fight scenes that leave you detached from the action. Lots of unexplained plot points and boredom. The plus side is its not too long so not that much time wasted.

Sure, watch it but its nothing special."
29 March 2022,Agatha!,10.0,
5 December 2021,Fantastic show with excellent plot point,10.0,"Are you ready for a ride through the history of American television? Then WandaVision is a show for you!

Honestly, I did not expect that one of the first MCU series for Disney+ would be one of my most beloved series of all time. To some extent, this show is art on its own.

But let's start simple: Wanda and Vision live a happy life in a classic American suburban neighbourhood. Their life resembles a sitcom from, well, every century since television is on. Why do you ask? Find out yourself. It is difficult to not include major spoilers in a review. But I can tell you this: If you are familiar with the movies staring Wanda and Vision and know about the origin, you will quickly notice that something is quite off in this ""friendly"" neighbourhood.

The execution of the serious is unique and brilliant. The jingles for the sitcoms which carry the vibes of shows from their time are so catchy and are the cause for many nostalgia thrusts. While the first three episodes are quite slow in terms of story progression, you will quickly get the premise of the show. Up from this point, is a fantastic show with a splendid cast which deservedly won multiple Emmys for its performance."
19 February 2021,Originally a 4 but now 5 out of 10,5.0,"Yes, it picked up after Ep 4, but still not enough, into 6 I was bored again and started to wonder why I was hanging in there, it has moments of curiosity and artistic flare but also periods of basically nothing and waiting for another piece of the jigsaw, half of which are pretty predictable."
5 March 2021,House of Hmmm,7.0,"The first Marvel series for Disney+ is built on a fascinating concept but the closer it draws to MCU reality, the more turgid it becomes. The rich tropey world that WandaVision builds out of satirical sitcom interpretations is layered, clever and brilliantly realised but rather shows up the flat grey melodrama of the MCU aesthetic the more the latter intrudes. Despite the tonal disparity, that the strange Pleasantville/Truman Show premise was even greenlit at all is a minor miracle and it's a bold beginning to the corporation's plush filmic TV canon. It's glorious to see Bettany and Olsen flex their considerable dramatic muscles and both of them do a superlative job of grounding the show, whether in full epic comic movie mode or in whichever sitcom era they reside.

There's a rich supporting cast too and Hahn and Peters throw in spirited turns - the MCU comic reliefs seem a little snarky and superfluous in comparison, prized awkwardly out of their respective contexts but the whole strange ensemble is quite compelling. Also Photon was there as well. The pacing of WandaVision is quite uneven with a two-steps-forward-one-step-back approach born out of an obviously sincere but rather patronising desire to make sure the broadest possible audience is keeping track of the concept. It's the difficult tonal marriage of these two (somewhat conflicting) desires that prevents it from building too successfully on the promise of the first few unsettling installments and the flashy grand finale is somewhat of a grey superhero squib.

So certainly not bad but here's hoping the next Disney+ series is a bit more small-screen minded in terms of week-to-week episodic pacing, which would give the wider cast and entire series a bit more room to breathe naturally. What they sacrificed for consistency in the earlier parts was made up for by some truly subversive television which I wasn't expecting at all - so absolutely fair play to them for that and Make Mine Marvel always."
